Name,Holding Type,Shares,Settlement Price,Market Value,Coupon Rate,Client Sector,Client Country,Moody's Rating,S&P Rating,Maturity,
Stone Ridge Opportunities Fund LP,Common Stock,29527,1367,40363409,,Private Fund,United States,,,,74134.01
Grayscale Ethereum Classic Trust,Mutual Funds,1268046,12.01,15229232.46,,Unclassifiable,United States,,,,
Bitwise 10 Crypto Index Fund,Mutual Funds,312202,29.28,9141274.56,,Closed-End Funds,United States,,,,
"Pershing Square Holdings, Ltd.",Mutual Funds,175609,49.2,8639962.8,,Closed-End Funds,Great Britain,,,,
"Chinos Intermediate 2 LLC, TL",Bank Loan,8385014.33,100.53,8429580.68,13.59,Retail - Discretionary,United States,,,2027-09-10T05:00:00,
"Altria Group, Inc.",Corporate Debt,10614000,78.32,8312890.11,4.25,Tobacco & Cannabis,United States,,,2042-08-09T05:00:00,
"Fidelity Emerging Markets, Ltd.",Mutual Funds,933107,6.9,8045131.51,,Investment Trust,Great Britain,,,,
"MFF Capital Investments, Ltd.",Mutual Funds,3135882,3.54,7191225.1,,Closed-end Funds,Australia,,,,
"Wok Holdings, Inc.",Bank Loan,7124223.02,99.16,7064130.2,11.73,Retail - Discretionary,United States,,,2026-03-02T06:00:00,
"Level 3 Financing, Inc.",Bank Loan,7000000,98.52,6896260,11.88,Telecommunications,United States,,,2029-04-16T05:00:00,
BlackRock ESG Capital Allocation Term Trust,Mutual Funds,410267,16.1,6605298.7,,Investment Trust,United States,,,,
"ClubCorp Holdings, Inc.",Bank Loan,6144995.85,100.35,6166503.34,10.56,Leisure Facilities & Services,United States,,,2026-09-18T05:00:00,
"ClearBridge Energy Midstream Opportunity Fund, Inc.",Mutual Funds,136303,40.59,5532538.77,,Closed-End Funds,United States,,,,
PIMCO Dynamic Income Strategy Fund,Mutual Funds,254162,21.23,5395859.26,,Closed-end Funds,United States,,,,
"AMC Entertainment Holdings, Inc.",Bank Loan,5994750.66,87.07,5219539.48,8.43,Leisure Facilities & Services,United States,Caa2,B-,2026-04-22T05:00:00,
"Diebold Nixdorf, Inc.",Bank Loan,5040000,102.5,5166000,12.82,Technology Hardware,United States,,,2028-08-11T05:00:00,
Weibo Corp.,Common Stock,586434,8.62,5055061.08,,Internet Media & Services,China,,,,
"AMERICAN AIRLINES, INC., TL",Bank Loan,5000000,100.48,5023975,8.78,Transportation & Logistics,United States,,,2029-05-17T05:00:00,
Nuveen Multi-Asset Income Fund,Mutual Funds,404273,11.78,4762335.94,,Closed-end Funds,United States,,,,
"VGI Partners Global Investments, Ltd.",Mutual Funds,3653052,1.8,4259594.61,,Closed-end Funds,Australia,,,,
"WAM Global, Ltd.",Mutual Funds,2945191,2.22,4235516.21,,Closed-End Funds,Australia,,,,
Schroder UK Mid Cap Fund PLC,Mutual Funds,570790,5.76,4108198.78,,Closed-end Funds,Great Britain,,,,
"Adtalem Global Education, Inc.",Corporate Debt,4195000,95,3985250,5.5,Consumer Services,United States,Ba3,BB-,2028-03-01T06:00:00,
"ClearBridge MLP & Midstream Fund, Inc.",Mutual Funds,83316,45.08,3755876.95,,Closed-end Funds,United States,B3,CCC,,
"LABL, Inc.",Bank Loan,3436211.74,98.08,3370288.02,10.42,Containers & Packaging,United States,,,2028-10-30T05:00:00,
Miller/Howard High Dividend Fund,Mutual Funds,293928,10.94,3215572.32,,Closed-End Funds,United States,,,,
Charter Communications Operating LLC / Charter Communications Operating Capital,Corporate Debt,5000000,63.47,3173300,3.5,Cable & Satellite,United States,Ba1,BBB-,2042-03-01T06:00:00,
Ukraine Government International Bond,Government Debt,10741000,29,3114890,7.75,Sovereign,Ukraine,Caa2,B-,2027-09-01T05:00:00,
Quantalx Neuroscience Ltd.,Common Stock,3000,1007.2,3021600,,Medical Equipment & Devices,Israel,,,,
"Pengana International Equities, Ltd.",Mutual Funds,4054812,1.15,3007572.6,,Closed-end Funds,Australia,,,,
"ClearBridge MLP & Midstream Total Return Fund, Inc.",Mutual Funds,69138,41.07,2839497.66,,Closed-end Funds,United States,,,,
"ASA Gold and Precious Metals, Ltd.",Mutual Funds,163658,17.31,2832919.98,,Closed-end Funds,Great Britain,,,,
"GEO Group, Inc.",Common Stock,175119,14.86,2602268.34,,Commercial Support Services,United States,B1,B+,,
DISH Network Corp.,Corporate Debt,2570000,101.19,2600518.75,11.75,Cable & Satellite,United States,,,2027-11-15T06:00:00,
Covia Equity,Common Stock,169353,14,2370942,,Metals & Mining,United States,,,,
BlackRock Innovation and Growth Term Trust,Mutual Funds,330506,7.1,2346592.6,,Investment Trust,United States,,,,
Star Holdings,Common Stock,188549,11.89,2241847.61,,Real Estate Owners & Developers,United States,,,,
BAT Capital Corp.,Corporate Debt,3000000,71.95,2158614,3.73,Tobacco & Cannabis,United States,,,2040-09-25T05:00:00,
G-ILS Transportation Ltd. Preferred B-3 Shares,Preferred Stock,1332,1599.76,2130880.32,,Transportation & Logistics,Israel,,,,
Real View Imaging Ltd,Common Stock,2000,1057.48,2114960,,Medical Equipment & Devices,Israel,,,,
BlackRock California Municipal Income Trust,Mutual Funds,173997,11.54,2007925.38,,Investment Trust,United States,,,,
"Pagseguro Digital, Ltd.",Common Stock,160067,12.45,1992834.15,,Technology Services,Brazil,,,,
Nuveen Core Plus Impact Fund,Mutual Funds,196587,10.09,1983562.83,,Closed-end Funds,United States,,,,
"Tortoise Midstream Energy Fund, Inc.",Mutual Funds,50952,38.29,1950977.56,,Closed-end Funds,United States,,,,
"Neuberger Berman Next Generation Connectivity Fund, Inc.",Mutual Funds,165408,11.58,1915424.64,,Closed-end Funds,United States,,,,
Ukraine Government International Bond,Government Debt,5592000,32.25,1803420,7.75,Sovereign,Ukraine,Caa2,B-,2025-09-01T05:00:00,
"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",Mutual Funds,393607,4.5,1771231.5,,Closed-End Funds,Multi-Country,,,,
Altice France SA,Corporate Debt,2644000,66,1745040,5.5,Telecommunications,France,B2,B-,2029-10-15T05:00:00,
China Evergrande Group,Corporate Debt,108930000,1.5,1633950,8.75,Real Estate Owners & Developers,China,,,2025-06-28T05:00:00,
Fannie Mae Interest Strip,Asset/Mortgage Backed Security,8696040.56,18.01,1566437.79,3,Agency Collateralized CMO,United States,,,2052-10-25T05:00:00,
"Level 3 Financing, Inc.",Corporate Debt,1556000,100.5,1563780,10.5,Telecommunications,United States,,,2030-05-15T05:00:00,
RR Donnelley & Sons Co.,Corporate Debt,1397000,109,1522730,9.75,Commercial Support Services,United States,,,2028-07-31T05:00:00,
Henderson Opportunities Trust PLC,Mutual Funds,558280,2.13,1482393.88,,Closed-end Funds,Great Britain,,,,
Eaton Vance New York Municipal Bond Fund,Mutual Funds,144910,9.45,1369399.5,,Closed-end Funds,United States,,,,
NB Global Corporate Income Trust,Mutual Funds,1380302,1.49,1332294.68,,Investment Trust,Australia,,,,
"Hearts and Minds Investments, Ltd.",Mutual Funds,836372,2.42,1311157.19,,Closed-end Funds,Australia,,,,
Ukraine Government International Bond,Government Debt,4146000,31.25,1295625,9.75,Sovereign,Ukraine,,,2028-11-01T05:00:00,
"Community Health Systems, Inc.",Common Stock,391940,3.3,1293402,,Health Care Facilities & Svcs,United States,,B+,,
Schroder British Opportunities Trust PLC,Mutual Funds,1453746,0.71,1289732.05,,Closed-end Funds,Great Britain,,,,
BlackRock Smaller Cos. Trust PLC,Mutual Funds,71210,14.1,1254621.45,,Investment Trust,Great Britain,,,,
Trump Media & Technology Group Corp.,Common Stock,34903,34.95,1219894.75,,Internet Media & Services,United States,,,,
Morgan Stanley Finance LLC,Corporate Debt,2289000,52.52,1202143.89,0,Asset Management,United States,,,2036-08-31T05:00:00,
"Neuberger Berman Energy Infrastructure and Income Fund, Inc.",Mutual Funds,162550,7.32,1189866,,Closed-End Funds,United States,,,,
AEYE HEALTH INC,Common Stock,1000,1135.69,1135690,,Health Care Facilities & Svcs,United States,,,,
Nuveen New Jersey Quality Municipal Income Fund,Mutual Funds,92993,11.69,1087088.17,,Closed-end Funds,United States,,,,
Haat Delivery Ltd.,Preferred Stock,64188,16.2,1039845.6,,Closed-End Funds,Israel,,,,
BlackRock Capital Allocation Term Trust,Mutual Funds,67260,15.41,1036476.6,,Investment Trust,United States,,,,
S&P 500 Mini Future,Futures,-175,5067,1034570.59,,Future,United States,,,2024-06-21T05:00:00,
Ukraine Government International Bond,Government Debt,3462000,29.13,1008307.5,7.75,Sovereign,Ukraine,Caa2,B-,2026-09-01T05:00:00,
Fannie Mae Interest Strip,Asset/Mortgage Backed Security,5974061.97,15.91,950363.93,2.5,Agency Collateralized CMO,United States,,,2052-06-25T05:00:00,
Fannie Mae Interest Strip,Asset/Mortgage Backed Security,7221805.74,12.99,937886.52,2,Agency Collateralized CMO,United States,,,2051-02-25T06:00:00,
Pioneer Municipal High Income Fund Trust,Mutual Funds,108304,8.49,919500.96,,Investment Trust,United States,,,,
MainStay CBRE Global Infrastructure Megatrends Term Fund,Mutual Funds,74080,12.01,889700.8,,Closed-end Funds,United States,,,,
Cleveland-Cliffs Steel Corp.,Corporate Debt,880000,99.75,877800,7,Metals & Mining,United States,B3,B-,2027-03-15T05:00:00,
Russell 2000 Index/Old-RUT US 07/19/24 C2085,Option,248,33.8,838240,,Options,United States,,,2024-07-19T05:00:00,
Selina Hospitality PLC,Common Stock,16695548,0.05,834777.4,,Leisure Facilities & Services,Great Britain,,,,
Nuveen Pennsylvania Quality Municipal Income Fund,Mutual Funds,71523,11.52,823587.35,,Closed-end Funds,United States,,,,
"Adams Diversified Equity Fund, Inc.",Mutual Funds,42645,18.87,804711.15,,Closed-End Funds,United States,,,,
Harvey Gulf Intl. Marine,Common Stock,24044,32,769408,,Transportation & Logistics,United States,,,,
Saba Capital Income & Opportunities Fund II,Mutual Funds,201064,3.77,758011.28,,Closed-end Funds,United States,,,,
Moran Foods LLC,Bank Loan,927417.44,77.5,718748.52,12.66,Food,United States,,,2026-06-30T05:00:00,
"Ellsworth Growth and Income Fund, Ltd.",Mutual Funds,85672,7.72,660959.48,,Closed-end Funds,United States,,,,
Moran Foods 10/23 2023 FLSO PIK TL2,Bank Loan,894801.58,72,644257.14,12.66,Food,United States,,,2026-12-31T06:00:00,
S&P 500 INDEX-SPX US 09/20/24 P4830,Option,68,88.15,599420,,Options,United States,,,2024-09-19T05:00:00,
"Tortoise Power and Energy Infrastructure Fund, Inc.",Mutual Funds,37442,15.02,562378.84,,Closed-end Funds,United States,,,,
Eaton Vance California Municipal Bond Fund,Mutual Funds,59833,9.37,560635.21,,Closed-end Funds,United States,,,,
"Tortoise Energy Independence Fund, Inc.",Mutual Funds,16435,33.56,551558.6,,Closed-End Funds,United States,,,,
Compass Pathways PLC,Common Stock,61188,8.57,524381.16,,Biotech & Pharma,Great Britain,,,,
Principal Real Estate Income Fund,Mutual Funds,51780,9.83,508997.4,,Closed-End Funds,United States,,,,
abrdn Life Sciences Investors,Mutual Funds,37835,13.08,494881.8,,Closed-end Funds,United States,,,,
International Business Machines,Contract for Difference,-20642000,-2.38,490488.92,1,Technology Hardware,United States,,,2027-12-20T06:00:00,
NASDAQ 100 E-MINI Jun24,Futures,-36,17571.25,463479.19,,Future,United States,,,2024-06-21T05:00:00,
Pfizer CDS USD 12/20/2028 GS,Contract for Difference,-15802000,-2.9,458757.35,1,Biotech & Pharma,United States,,,2028-12-20T06:00:00,
"Platinum Capital, Ltd.",Mutual Funds,505958,1.37,447390.78,,Closed-end Funds,Australia,,,,
Ukraine Government International Bond,Government Debt,1679000,25.5,428145,7.38,Sovereign,Ukraine,,,2032-09-25T05:00:00,
BMY CDS USD 6/29 OTC,Contract for Difference,-14307000,-2.96,422965.05,1,Biotech & Pharma,United States,,,2029-06-20T05:00:00,
Nuveen California Quality Municipal Income Fund,Mutual Funds,39251,10.77,422733.27,,Closed-end Funds,United States,,,,
Ecofin Sustainable and Social Impact Term Fund,Mutual Funds,37011,11.41,422295.51,,Closed-end Funds,United States,,,,
S&P 500 INDEX-SPXW US 08/30/24 P4890,Option,46,90.45,416070,,Options,United States,,,2024-08-30T05:00:00,
"Tortoise Energy Infrastructure Fund, Inc.",Mutual Funds,13232,30.97,409795.04,,Closed-end Funds,United States,,,,
Destra Multi-Alternative Fund,Mutual Funds,56768,7.19,408161.92,,Closed-end Funds,United States,,,,
Fannie Mae Interest Strip,Asset/Mortgage Backed Security,2400356.66,16.63,399245.8,3,Agency Collateralized CMO,United States,,,2052-07-25T05:00:00,
"UnitedHealth Group, Inc.",Contract for Difference,-15248000,-2.55,388701.52,1,Health Care Facilities & Svcs,United States,,,2027-12-20T06:00:00,
"WCM Global Growth, Ltd.",Mutual Funds,392373,1.51,382538.83,,Closed-end Funds,Australia,,,,
"Level 3 Financing, Inc.",Corporate Debt,666000,55.5,369630,3.88,Telecommunications,United States,,,2030-10-15T05:00:00,
"CommScope, Inc.",Corporate Debt,951000,38.5,366135,8.25,Telecommunications,United States,Caa1,CCC+,2027-03-01T06:00:00,
"Vertex, Inc.",Common Stock,12386,29.13,360804.18,,Software,United States,,,,
abrdn Healthcare Investors,Mutual Funds,22254,16.15,359402.1,,Closed-end Funds,United States,,,,
Morgan Stanley Finance LLC,Corporate Debt,747000,47.98,358427.78,0,Asset Management,United States,,,2037-03-31T05:00:00,
"RRD Parent, Inc.",Corporate Debt,202641,174.46,353525.46,10,Software,United States,,,2031-10-15T05:00:00,
CSC Holdings LLC,Corporate Debt,559000,61.75,345182.5,3.38,Cable & Satellite,United States,Ba3,BB,2031-02-15T06:00:00,
RR Donnelley & Sons Co.,Corporate Debt,333000,100.03,333083.25,8.25,Commercial Support Services,United States,,,2027-07-01T05:00:00,
BEEHERO LTD,Common Stock,321.84,1000,321841,,Software,United States,,,,
Arbutus Biopharma Corp.,Common Stock,113008,2.73,308511.84,,Biotech & Pharma,United States,,,,
Ukraine Government International Bond,Government Debt,1177000,25.75,303077.5,6.88,Sovereign,Ukraine,,,2029-05-21T05:00:00,
Voya Emerging Markets High Dividend Equity Fund,Mutual Funds,55342,5.18,286394.85,,Closed-End Funds,United States,,,,
BlackRock Health Sciences Term Trust,Mutual Funds,19805,14.45,286182.25,,Investment Trust,United States,,,,
CommScope CDS USD 06/20/2027,Contract for Difference,505000,55.16,278581.99,5,Telecommunications,United States,,,2027-06-20T05:00:00,
Voya Infrastructure Industrials and Materials Fund,Mutual Funds,27597,10.08,278177.76,,Closed-end Funds,United States,,,,
Credit Suisse AG,Corporate Debt,420000,65.86,276615.78,0,Asset Management,Switzerland,,,2030-10-30T05:00:00,
Selina Hospitality PLC,Corporate Debt,4907713,5.63,276304.24,6,Leisure Facilities & Services,Great Britain,,,2029-11-01T05:00:00,
"abrdn Japan Equity Fund, Inc.",Mutual Funds,46838,5.86,274470.68,,Closed-End Funds,United States,,,,
Morgan Stanley,Corporate Debt,527000,51.04,268983.96,0,Asset Management,United States,,,2035-03-31T05:00:00,
Morgan Stanley,Corporate Debt,460000,57.3,263581.38,0,Asset Management,United States,,,2034-06-30T05:00:00,
Morgan Stanley,Corporate Debt,478000,54.48,260406.75,0,Asset Management,United States,,,2034-02-28T06:00:00,
China Evergrande Group,Corporate Debt,17000000,1.5,255000,,Real Estate Owners & Developers,China,,,,
TRAVELPORT TECHNOLOGY LIMITED COMMON SHARES,Common Stock,69,3690.63,254653.47,,Leisure Facilities & Services,United States,,,,
Britol-Myers Squibb,Contract for Difference,-10000000,-2.54,254159.48,1,Biotech & Pharma,United States,,,2027-12-20T06:00:00,
Britol-Myers Squibb,Contract for Difference,-10000000,-2.54,254159.48,1,Biotech & Pharma,United States,,,2027-12-20T06:00:00,
Proctor & Gamble,Contract for Difference,-9055000,-2.79,253083.9,1,Household Products,United States,,,2027-12-20T06:00:00,
"Pioneer Municipal High Income Opportunities Fund, Inc.",Mutual Funds,22790,11,250690,,Closed-end Funds,United States,,,,
IBM Corp.,Contract for Difference,-10000000,-2.38,237616.96,1,Technology Hardware,United States,,,2027-12-20T06:00:00,
"Pfizer, Inc.",Contract for Difference,-9152000,-2.56,234064.17,1,Biotech & Pharma,United States,,,2027-12-20T06:00:00,
Ukraine Government International Bond,Government Debt,805000,27.06,232428.79,,Sovereign,Ukraine,,,2028-06-20T05:00:00,
China Evergrande Group,Corporate Debt,15065000,1.5,225975,7.5,Real Estate Owners & Developers,China,,,,
Morgan Stanley,Corporate Debt,428000,52.72,225631.33,0,Asset Management,United States,,,2033-09-26T05:00:00,
"Tortoise Pipeline & Energy Fund, Inc.",Mutual Funds,7027,32.03,225039.68,,Closed-end Funds,United States,,,,
GEO Group 4/24 TLB 1L,Bank Loan,220000,101.51,223323.1,10.57,Commercial Support Services,United States,,,2029-04-01T05:00:00,
Unisys Corp.,Corporate Debt,249000,87.25,217252.5,6.88,Software,United States,B1,BB,2027-11-01T05:00:00,
"Granite Ridge Resources, Inc.",Common Stock,33264,6.52,216881.28,,Oil & Gas Producers,United States,,,,
Morgan Stanley,Corporate Debt,357000,55.99,199880.73,0,Asset Management,United States,,,2034-10-31T05:00:00,
China Evergrande Group,Corporate Debt,13307000,1.5,199605,8.25,Real Estate Owners & Developers,China,,,2025-03-23T05:00:00,
Ukraine Government International Bond,Government Debt,364000,53.75,195650,7.75,Sovereign,Ukraine,,B-,2040-05-31T05:00:00,
"New America High Income Fund, Inc.",Mutual Funds,27003,7.07,190911.21,,Closed-End Funds,United States,,,,
"Pfizer, Inc.",Contract for Difference,-7325000,-2.56,187338.29,1,Biotech & Pharma,United States,,,2027-12-20T06:00:00,
Russell 2000 Index/Old-RUTW US 07/31/24 C2150,Option,77,23.89,183953,,Options,United States,,,2024-07-31T05:00:00,
Invesco Trust for Investment Grade New York Municipals,Mutual Funds,17462,10.37,181077.45,,Closed-end Funds,United States,,,,
Federated Hermes Premier Municipal Income Fund,Mutual Funds,15998,11.04,176617.92,,Closed-end Funds,United States,,,,
Longview Power LLC,Common Stock,61813,2.83,175116.23,,Electric Utilities,United States,,,,
BlackRock Science and Technology Term Trust,Mutual Funds,9706,17.33,168204.98,,Investment Trust,United States,,,,
"Korea Fund, Inc.",Mutual Funds,7117,23.61,168032.37,,Closed-End Funds,United States,,,,
Kayne Anderson Energy Infrastructure Fund,Mutual Funds,17515,9.57,167618.55,,Closed-end Funds,United States,,,,
abrdn Global Infrastructure Income Fund,Mutual Funds,9471,17.19,162806.49,,Closed-end Funds,United States,,,,
China Evergrande Group,Corporate Debt,10811000,1.5,162165,9.5,Real Estate Owners & Developers,China,,,,
BNFP CDS EUR SR 5Y 6/29,Contract for Difference,-4810000,-3.08,158215.61,1,Food,France,,,2029-06-20T05:00:00,
Eaton Vance California Municipal Income Trust,Mutual Funds,14728,10.35,152434.8,,Closed-end Funds,United States,,,,
Morgan Stanley,Corporate Debt,276000,55,151804.14,0,Asset Management,United States,,,2034-03-31T05:00:00,
"CommScope Holding Co., Inc.",Common Stock,169320,0.89,151372.08,,Technology Hardware,United States,,,,
"24 Hour Fitness Worldwide, Inc.",Bank Loan,295667.44,49.67,146847.67,10.57,Leisure Facilities & Services,United States,,,2025-12-29T06:00:00,
Psny Trs:731105201,Contract for Difference,697000,1.39,146370,,Automotive,Great Britain,,,2024-10-31T05:00:00,
Morgan Stanley,Corporate Debt,266000,53.13,141328.46,0,Asset Management,United States,,,2033-10-31T05:00:00,
Altice France Holding SA,Corporate Debt,429000,29.95,137133.68,8,Telecommunications,Luxembourg,,,2027-05-15T05:00:00,
Ukraine Government International Bond,Government Debt,516000,25.5,131580,7.25,Sovereign,Ukraine,,,2033-03-15T05:00:00,
Morgan Stanley,Corporate Debt,231000,56.84,131292.55,0,Asset Management,United States,,,2034-09-30T05:00:00,
Mercantile Investment Trust PLC,Contract for Difference,2506806,2.29,125294.88,,Investment Trust,Great Britain,,,2024-10-31T05:00:00,
"Taiwan Fund, Inc.",Mutual Funds,3223,38.75,124891.25,,Closed-End Funds,United States,,,,
Edinburgh Worldwide Investment Trust PLC,Contract for Difference,8323573,1.42,124808.34,,Investment Trust,Great Britain,,,2024-10-31T05:00:00,
"Arbe Robotics, Ltd.",Common Stock,68769,1.79,123096.51,,Automotive,Israel,,,,
Morgan Stanley Finance LLC,Corporate Debt,224000,54.89,122948.22,0,Asset Management,United States,,,2037-01-31T06:00:00,
Morgan Stanley,Corporate Debt,231000,50.3,116203.4,0,Asset Management,United States,,,2034-11-28T06:00:00,
Invesco Pennsylvania Value Municipal Income Trust,Mutual Funds,11626,9.91,115213.66,,Investment Trust,United States,,,,
Unisys Corp.,Common Stock,21048,5.43,114290.64,,Technology Services,United States,,BB-,,
